

 รายงานการใช้รถ  : 2016-09-29 00:00 
เวลาเริ่ม,สถานที่,เวลาสิ้นสุด,สถานที่,ระยะเวลา (ชม.),ระยะทาง (กม.),น้ำมัน (ลิตร)
10:14,11:43,บางโฉลง:บางพลี:สมุทรปราการ,คลองมหานาค:ป้อมปราบศัตรูพ่าย:กรุงเทพมหานคร,01:29,29.26,2.43833
11:45,12:18,คลองมหานาค:ป้อมปราบศัตรูพ่าย:กรุงเทพมหานคร,บางคูวัด:เมืองปทุมธานี:ปทุมธานี,00:32,22.44,1.87
12:34,12:49,บางคูวัด:เมืองปทุมธานี:ปทุมธานี,ประชาธิปัตย์:ธัญบุรี:ปทุมธานี,00:14,13.67,1.13917
13:05,13:24,ประชาธิปัตย์:ธัญบุรี:ปทุมธานี,ประชาธิปัตย์:ธัญบุรี:ปทุมธานี,00:18,1.43,0.119167
13:25,13:35,ประชาธิปัตย์:ธัญบุรี:ปทุมธานี,คูคต:ลำลูกกา:ปทุมธานี,00:09,2.11,0.175833
13:40,13:59,คูคต:ลำลูกกา:ปทุมธานี,คูคต:ลำลูกกา:ปทุมธานี,00:19,4.5,0.375
14:17,14:34,คูคต:ลำลูกกา:ปทุมธานี,คูคต:ลำลูกกา:ปทุมธานี,00:17,4.25,0.354167
14:41,14:51,คูคต:ลำลูกกา:ปทุมธานี,คูคต:ลำลูกกา:ปทุมธานี,00:10,1.29,0.1075
14:57,15:04,คูคต:ลำลูกกา:ปทุมธานี,คูคต:ลำลูกกา:ปทุมธานี,00:07,3.34,0.278333
15:18,15:36,คูคต:ลำลูกกา:ปทุมธานี,ลาดสวาย:ลำลูกกา:ปทุมธานี,00:18,3.84,0.32
15:52,16:04,ลาดสวาย:ลำลูกกา:ปทุมธานี,คูคต:ลำลูกกา:ปทุมธานี,00:11,1.47,0.1225
,,,สรุป,04:04,87.6,7.3
